dataset,system,category,index,source,prediction,reference,sari,fkgl_source,fkgl_prediction,fkgl_improvement,token_retention,is_exact_copy
asset,ft_gemma3,Success (large readability gain),301,"In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.",MINIX was free / open source software in April 2000.  By that time other operating systems had surpassed it's capabilities. It stayed mainly an operating system for students and hobbyists.,"In April 2000, MINIX became free software but other operating systems had surpassed it and it was mainly used by students and hobbyists.",44.2,20.53,8.93,11.59,0.647,False
asset,ft_gemma3,Success (large readability gain),92,Oregano is an indispensable ingredient in Greek cuisine.,Oregano is a part of Greek food.,Oregano is an essentlal ingredient in Greek cooking.,37.78,15.56,4.0,11.56,0.375,False
asset,ft_gemma3,Success (large readability gain),329,Google subsequently made the comic available on Google Books and their site and mentioned it on its official blog along with an explanation for the early release.,Google released the comic on Google Books and their website.  It was also mentioned on their blog.,The comic is available on Google Books.  It was mentioned by Google on its official blog with an explanation for its early release.,42.45,13.73,3.0,10.74,0.391,False
asset,ft_gemma3,Conservative (minimal edit),123,The Amazon Basin is the part of South America drained by the Amazon River and its tributaries.,The Amazon Basin is the part of South America that was drained by the Amazon River and its tributaries.,The Amazon Basin is at the end of the Amazon river.,50.59,11.17,11.07,0.1,1.0,False
asset,ft_gemma3,Conservative (minimal edit),148,Dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on September 12.,The dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on September 12.,Dry air wrapping around the southern part of the cyclone took away parts on September 12.,53.76,12.27,12.3,-0.03,1.0,False
asset,ft_gemma3,Conservative (minimal edit),334,"It has long been the economic centre of northern Nigeria, and a centre for the production and export of groundnuts.","It has long been the economic centre of northern Nigeria, and a center for the production and export of groundnuts.","It's historically the economic centre of northern Nigeria, and a centre for the production and export of groundnuts.",40.76,11.68,11.68,0.0,1.0,False
asset,ft_gemma3,High divergence (information loss risk),246,Notable features of the design include key-dependent S-boxes and a highly complex key schedule.,Key-dependent S-boxes are also found in this design.,Notable features of the design include key-dependent S-boxes and a complex key schedule.,23.3,11.78,8.18,3.6,0.143,False
medeasi,ft_gemma3,Success (large readability gain),94,Clinical evaluation,"The clinical examination includes a physical examination of the skin, muscles, bones, joints, and other body parts.",A doctor 's evaluation,50.88,32.39,13.95,18.44,0.5,False
medeasi,ft_gemma3,Success (large readability gain),106,"Ehrlichiosis and anaplasmosis may result in disseminated intravascular coagulation, multiorgan failure, seizures, and coma.",Ehrlichiosis and anaplasma may cause bleeding in small blood vessels throughout the body.,"Ehrlichiosis and anaplasmosis may cause widespread blood clotting (disseminated intravascular coagulation), severe malfunction (failure) of several organs, seizures, and coma.",23.05,20.21,7.63,12.58,0.308,False
medeasi,ft_gemma3,Success (large readability gain),193,Nasogastric suction,A nasogastric tube is a tube inserted down the throat to drain stomach contents from the stomach.,Suction via nasogastric tube.,58.43,20.59,8.39,12.2,0.5,False
medeasi,ft_gemma3,Conservative (minimal edit),75,"In his Nobel lecture, Lewis said `` Ultimately, comparisons of the ( control complexes ) throughout the animal kingdom should provide a picture of how the organisms, as well as the ( control genes ) have evolved. ''","He said `` In his Nobel Lecture, Lewis said `` Ultimately, comparisons of the ( control complexes ) throughout the animal kingdom should provide a picture of how the organisms, as well as the ( control genes ) have evolved. ''","In his Nobel Prize lecture, E.B. Lewis said `` Ultimately, comparisons of the ( control complexes ) throughout the animal kingdom should provide a picture of how the organisms, as well as the ( control genes ) have evolved ''.",64.75,17.17,17.45,-0.28,1.0,False
medeasi,ft_gemma3,Conservative (minimal edit),8,The driving force for these reactions is often the entropic benefit of gaseous evolution ( e.g.,The driving force for these reactions is often the entropic benefit of gaseous evolution ( e.g. ),The driving force for these reactions is often the entropic benefit of releasing a gas ( e.g.,62.73,12.29,12.29,0.0,1.0,False
medeasi,ft_gemma3,Conservative (minimal edit),190,Spontaneous remissions may last years.,Spontaneous remissions may last for many years.,"Sometimes the attacks stop completely for a number of years, only to resume afterwards.",38.54,9.96,9.05,0.91,1.0,False
medeasi,ft_gemma3,High divergence (information loss risk),3,Desmopressin,Antidiuretic hormone.,"Sometimes, the drug desmopressin",50.0,8.4,26.49,-18.09,0.0,False
medeasi,ft_gemma3,High divergence (information loss risk),53,"Respiratory stimulants (eg, caffeine)",Caffeine is a stimulant that increases alertness.,Stimulants (caffeine),46.39,18.42,10.74,7.68,0.0,False
medeasi,ft_gemma3,High divergence (information loss risk),111,Erythema nodosum almost always resolves spontaneously.,The spot usually disappears on its own after about 3 weeks.,"Erythema nodosum almost always resolves on its own, and the nodules may go away in 3 to 6 weeks without treatment.",19.36,18.22,8.01,10.21,0.0,False
